date,address,county,price,desc,region,latitude,longitude,apt,ed,suffix
28,"10 Saval Park Road, Dalkey",Dublin,980000.0,Second-Hand Dwelling house /Apartment,Leinster,53.274966000000006,-6.1186875,No,Dalkey Upper,park
28,"57 Galtymore drive, Drimnagh",Dublin,207818.03,Second-Hand Dwelling house /Apartment,Leinster,53.3349715,-6.311158499999999,No,Crumlin B,drive
28,"27 Northumberland Place, Ballsbridge, Dublin 4",Dublin,420000.0,Second-Hand Dwelling house /Apartment,Leinster,53.3380074,-6.2389521,No,Pembroke West A,place
28,"4 Ardenza Terrace, Monkstown",Dublin,1170000.0,Second-Hand Dwelling house /Apartment,Leinster,53.29885529999999,-6.1660625,No,Blackrock-Templehill,terrace
28,"4 johnsbridge avenue, lucan",Dublin,260000.0,Second-Hand Dwelling house /Apartment,Leinster,53.34130920000001,-6.4437481,No,Lucan-Esker,avenue
28,"17 whitebrook park, tallaght",Dublin,209000.0,Second-Hand Dwelling house /Apartment,Leinster,53.28527190000001,-6.391118899999999,No,Tallaght-Springfield,park
28,"16 Castlegardens, Drumboe, Stranorlar",Donegal,163000.0,Second-Hand Dwelling house /Apartment,Ulster,54.80696999999999,-7.7821304000000024,No,Stranorlar,
28,"4 THE COMPASS, GERADLINE PLACE, KILKEE",Clare,350000.0,Second-Hand Dwelling house /Apartment,Munster,52.6777078,-9.6560602,No,Kilkee,the
28,"15 Broadford Avenue, Ballinteer",Dublin,402500.0,Second-Hand Dwelling house /Apartment,Leinster,53.2768729,-6.259973400000002,No,Ballinteer-Broadford,avenue
28,"39 Davitt Road South, Wexford",Wexford,142500.0,Second-Hand Dwelling house /Apartment,Leinster,52.3365028,-6.467603599999999,No,Wexford No 1 Urban,road
28,"172 the oakes, belgard heights",Dublin,336000.0,Second-Hand Dwelling house /Apartment,Leinster,53.30072699999999,-6.3798898999999984,No,Tallaght-Belgarde,the
28,"15  The Millers, Bridgemount, Carrigaline",Cork,307000.0,Second-Hand Dwelling house /Apartment,Munster,51.821461600000006,-8.3856816,No,Carrigaline,the
28,"186 Applewood Heights, Greystones",Wicklow,485000.0,Second-Hand Dwelling house /Apartment,Leinster,53.14780469999999,-6.0832193,No,Delgany,heights
28,"42a Westbourne Green, Clondalkin, Dublin 22",Dublin,185000.0,Second-Hand Dwelling house /Apartment,Leinster,53.32118320000001,-6.4178096,No,Clondalkin-Dunawley,green
28,"30 Ravenswood View, Castaheany",Dublin,174000.0,Second-Hand Dwelling house /Apartment,Leinster,53.39432189999999,-6.4267046999999975,No,Blanchardstown-Blakestown,view
28,"14. St. Patricks Place, Enniscorthy",Wexford,90000.0,Second-Hand Dwelling house /Apartment,Leinster,52.502244,-6.5762087,No,Enniscorthy Rural,place
28,"37 Heywood Court, Santry",Dublin,210000.0,Second-Hand Dwelling house /Apartment,Leinster,53.40152970000001,-6.2563917,No,Airport,court
