,uid,zoom,year,work,lffj,unemployed,student,home_fam,retired,sick_dis,stat_other,stat_total
145,E02092,edist,2016,968,11,104,217,108,348,69,6,1831
146,E02093,edist,2016,1568,17,148,281,169,646,127,29,2985
147,E02094,edist,2016,1702,11,135,177,104,320,169,7,2625
148,E02095,edist,2016,1105,20,379,213,168,128,214,375,2602
149,E02096,edist,2016,1023,35,299,227,216,346,189,13,2348
150,E02097,edist,2016,1758,68,496,367,337,240,264,12,3542
151,E02098,edist,2016,1566,27,246,296,231,498,174,10,3048
152,E02099,edist,2016,1186,27,255,231,150,510,128,6,2493
153,E02100,edist,2016,988,14,193,184,130,299,111,7,1926
154,E02101,edist,2016,1733,51,303,348,232,539,200,10,3416
155,E02102,edist,2016,1101,27,232,223,182,398,145,11,2319
156,E02103,edist,2016,1267,26,139,245,207,357,99,7,2347
157,E02104,edist,2016,980,22,272,185,169,347,203,10,2188
158,E02105,edist,2016,1272,28,366,262,241,508,240,11,2928
159,E02106,edist,2016,1188,14,150,135,93,317,103,6,2006
160,E02107,edist,2016,885,37,227,164,129,229,127,5,1803
161,E02108,edist,2016,1061,23,243,168,157,313,150,7,2122
162,E02109,edist,2016,1457,19,122,163,63,197,58,4,2083
163,E02110,edist,2016,2402,65,398,481,257,488,202,13,4306
164,E02111,edist,2016,772,23,173,143,122,233,129,7,1602
165,E02112,edist,2016,1467,22,325,263,228,498,189,11,3003
166,E02113,edist,2016,1633,19,142,232,139,389,98,20,2672
167,E02114,edist,2016,1148,15,163,204,162,310,100,9,2111
168,E02115,edist,2016,1537,20,260,242,186,418,137,9,2809
169,E02116,edist,2016,905,30,288,219,218,313,180,4,2157
170,E02117,edist,2016,2227,52,296,821,153,396,162,7,4114
171,E02118,edist,2016,841,4,28,149,62,149,10,6,1249
172,E02119,edist,2016,1315,44,239,234,104,147,93,11,2187
173,E02120,edist,2016,2286,47,327,526,149,197,88,6,3626
174,E02121,edist,2016,1878,50,293,406,124,250,150,6,3157
175,E02122,edist,2016,1176,16,75,192,82,272,61,6,1880
176,E02123,edist,2016,1054,30,115,812,76,133,44,7,2271
177,E02124,edist,2016,1099,26,177,238,81,110,56,3,1790
178,E02125,edist,2016,2717,36,324,332,238,464,213,11,4335
179,E02126,edist,2016,1937,15,94,333,198,550,52,12,3191
180,E02127,edist,2016,1957,9,85,382,213,653,28,17,3344
181,E02128,edist,2016,2324,24,165,524,335,1066,213,18,4669
182,E02129,edist,2016,2198,16,105,338,232,518,19,11,3437
183,E02130,edist,2016,3192,18,170,311,190,489,60,14,4444
184,E02131,edist,2016,1811,15,103,252,146,294,26,8,2655
185,E02132,edist,2016,3111,29,140,380,211,509,33,8,4421
186,E02133,edist,2016,1955,19,109,980,257,646,70,11,4047
187,E02134,edist,2016,2809,32,151,450,180,559,102,15,4298
188,E02135,edist,2016,3374,19,135,630,265,647,120,19,5209
189,E02136,edist,2016,1651,5,74,391,187,463,33,8,2812
190,E02137,edist,2016,1630,11,88,302,81,222,21,5,2360
191,E02138,edist,2016,3528,47,284,504,179,387,110,18,5057
192,E02139,edist,2016,2373,29,214,387,113,191,72,7,3386
193,E02140,edist,2016,1460,21,82,342,110,249,27,1,2292
194,E02141,edist,2016,1699,32,137,345,125,276,54,8,2676
195,E02142,edist,2016,1917,24,111,347,132,344,36,7,2918
196,E02143,edist,2016,1691,20,134,345,89,206,52,5,2542
197,E02144,edist,2016,2642,38,214,683,125,335,122,10,4169
198,E02145,edist,2016,1094,12,154,280,71,189,92,13,1905
199,E02146,edist,2016,3344,46,321,505,164,380,95,47,4902
200,E02147,edist,2016,4743,46,298,625,205,348,127,9,6401
201,E02148,edist,2016,1995,18,149,296,142,469,58,10,3137
202,E02149,edist,2016,1736,14,159,323,151,473,64,5,2925
203,E02150,edist,2016,763,7,36,231,151,313,11,1,1513
204,E02151,edist,2016,335,2,14,95,59,144,6,2,657
205,E02152,edist,2016,2616,34,204,315,120,190,119,8,3606
206,E02153,edist,2016,744,23,130,97,49,45,44,5,1137
207,E02154,edist,2016,1896,49,358,336,179,229,179,14,3240
208,E02155,edist,2016,1123,31,175,179,92,167,67,5,1839
209,E02156,edist,2016,736,36,158,171,85,167,92,7,1452
210,E02157,edist,2016,1652,30,178,258,118,665,225,16,3142
211,E02158,edist,2016,1243,21,185,223,179,268,128,13,2260
212,E02159,edist,2016,828,13,105,155,120,301,71,8,1601
213,E02160,edist,2016,930,9,134,153,157,383,89,8,1863
214,E02161,edist,2016,1114,29,338,196,100,321,218,9,2325
215,E02162,edist,2016,1979,34,203,335,116,330,52,10,3059
216,E03001,edist,2016,379,8,66,56,61,77,28,1,676
217,E03002,edist,2016,2370,23,135,605,270,666,81,6,4156
218,E03003,edist,2016,1926,14,237,364,292,362,153,15,3363
219,E03004,edist,2016,1007,14,84,177,133,191,75,12,1693
220,E03005,edist,2016,749,53,303,261,188,179,115,11,1859
221,E03006,edist,2016,4389,108,1039,905,740,680,519,32,8412
222,E03007,edist,2016,5325,85,690,886,668,952,327,37,8970
223,E03008,edist,2016,2404,83,620,542,469,471,300,20,4909
224,E03009,edist,2016,1456,43,502,321,276,372,265,14,3249
225,E03010,edist,2016,4289,44,494,648,526,778,332,18,7129
226,E03011,edist,2016,2472,37,317,544,374,509,226,15,4494
227,E03012,edist,2016,4067,32,234,978,411,401,87,11,6221
228,E03013,edist,2016,1507,8,90,335,210,725,65,5,2945
229,E03014,edist,2016,5592,78,512,1175,662,805,220,13,9057
230,E03015,edist,2016,14628,221,1353,3007,1704,774,499,46,22232
231,E03016,edist,2016,2187,23,193,477,328,909,147,7,4271
232,E03017,edist,2016,4922,56,439,899,608,993,212,15,8144
233,E03018,edist,2016,1921,20,148,241,246,439,187,9,3211
234,E03019,edist,2016,1485,21,156,322,236,743,126,5,3094
235,E03020,edist,2016,3066,78,583,828,463,669,469,33,6189
236,E03021,edist,2016,2319,22,187,274,302,640,116,10,3870
237,E03022,edist,2016,1010,6,58,248,195,551,38,3,2109
238,E03023,edist,2016,1372,12,68,331,219,683,40,4,2729
239,E03024,edist,2016,2203,13,122,512,233,620,52,9,3764
240,E03025,edist,2016,1759,18,108,394,221,635,57,11,3203
241,E03026,edist,2016,1418,3,74,356,188,524,34,2,2599
242,E03027,edist,2016,2277,28,216,236,275,343,108,9,3492
243,E03028,edist,2016,509,17,130,128,124,280,72,3,1263
244,E03029,edist,2016,740,11,108,97,105,281,62,4,1408
245,E03030,edist,2016,2705,132,922,754,607,386,370,19,5895
246,E03031,edist,2016,914,10,144,122,87,245,56,3,1581
247,E03032,edist,2016,6528,249,1670,1420,1050,442,574,44,11977
248,E03033,edist,2016,1262,71,548,349,258,332,250,14,3084
249,E03034,edist,2016,2107,20,240,326,285,531,191,5,3705
250,E03035,edist,2016,3428,70,709,689,509,385,304,14,6108
251,E03036,edist,2016,1896,29,208,287,236,455,147,14,3272
252,E03037,edist,2016,1302,14,177,233,251,738,123,5,2843
253,E03038,edist,2016,2053,30,240,344,298,696,142,13,3816
254,E03039,edist,2016,4808,94,898,671,655,1039,428,31,8624
255,E03040,edist,2016,1858,35,402,342,363,717,269,7,3993
256,E03041,edist,2016,1102,7,61,215,197,555,95,8,2240
257,E03042,edist,2016,2257,18,102,476,271,724,75,14,3937
258,E03043,edist,2016,1432,14,143,329,262,700,76,6,2962
259,E03044,edist,2016,840,12,58,189,153,478,43,6,1779
260,E03045,edist,2016,1020,7,76,214,140,431,50,4,1942
261,E03046,edist,2016,954,4,53,175,119,395,19,8,1727
262,E03047,edist,2016,950,10,110,170,137,379,63,7,1826
263,E03048,edist,2016,1154,11,97,241,239,600,71,7,2420
264,E03049,edist,2016,892,14,111,140,230,778,69,3,2237
265,E04001,edist,2016,2938,38,227,372,189,399,93,9,4265
266,E04002,edist,2016,6377,158,1064,1372,1033,538,521,35,11098
267,E04003,edist,2016,3190,92,518,619,555,858,303,22,6157
268,E04004,edist,2016,3282,41,261,605,463,1013,246,18,5929
269,E04005,edist,2016,1464,14,84,183,209,211,79,1,2245
270,E04006,edist,2016,489,0,29,116,91,148,29,4,906
271,E04007,edist,2016,315,3,36,75,47,68,14,0,558
272,E04008,edist,2016,2956,51,381,375,306,471,184,8,4732
273,E04009,edist,2016,17745,297,2081,3114,2104,1307,969,66,27683
274,E04010,edist,2016,4744,126,919,1006,684,745,424,25,8673
275,E04011,edist,2016,1471,40,378,342,240,436,155,7,3069
276,E04012,edist,2016,2426,34,246,317,249,789,111,11,4183
277,E04013,edist,2016,1607,44,357,374,234,82,137,10,2845
278,E04014,edist,2016,660,7,56,134,116,443,56,5,1477
279,E04015,edist,2016,1024,51,350,367,222,68,107,7,2196
280,E04016,edist,2016,9202,95,607,1885,1070,1445,294,24,14622
281,E04017,edist,2016,2757,14,156,462,301,718,63,5,4476
282,E04018,edist,2016,360,0,26,75,59,76,42,2,640
283,E04019,edist,2016,4212,40,319,887,527,653,278,14,6930
284,E04020,edist,2016,3755,40,484,463,319,193,121,20,5395
285,E04021,edist,2016,682,8,58,131,129,155,31,4,1198
286,E04022,edist,2016,675,10,40,103,98,120,38,1,1085
287,E04023,edist,2016,1436,22,104,349,271,531,74,11,2798
288,E04024,edist,2016,3222,27,216,827,742,1698,142,13,6887
289,E04025,edist,2016,915,12,112,209,176,330,79,6,1839
290,E04026,edist,2016,4919,45,324,596,488,514,220,7,7113
291,E04027,edist,2016,597,1,24,111,96,125,22,2,978
292,E04028,edist,2016,4215,43,354,671,586,632,217,19,6737
293,E04029,edist,2016,3334,25,166,658,571,1035,87,7,5883
294,E04030,edist,2016,2679,29,124,647,452,971,88,11,5001
295,E04031,edist,2016,1691,11,109,351,298,949,76,3,3488
296,E04032,edist,2016,1669,10,117,247,257,583,72,5,2960
297,E04033,edist,2016,4313,56,437,840,691,852,258,15,7462
298,E04034,edist,2016,3535,39,332,790,582,927,195,21,6421
299,E04035,edist,2016,2377,14,162,510,351,1181,117,16,4728
300,E04036,edist,2016,8013,69,552,1026,729,814,313,16,11532
301,E04037,edist,2016,3542,48,346,773,454,739,221,18,6141
302,E04038,edist,2016,5046,65,456,659,587,502,230,16,7561
303,E04039,edist,2016,3488,36,226,697,358,447,113,19,5384
304,E04040,edist,2016,1409,12,153,142,152,323,86,11,2288
305,E04041,edist,2016,4418,70,508,619,507,155,142,14,6433
306,E04042,edist,2016,822,13,66,174,84,190,55,7,1411
307,E05001,edist,2016,1153,8,94,229,147,470,57,3,2161
308,E05002,edist,2016,778,5,57,153,159,524,38,0,1714
309,E05003,edist,2016,1014,6,64,245,111,425,42,5,1912
310,E05004,edist,2016,659,5,42,146,111,396,31,3,1393
311,E05005,edist,2016,723,13,107,180,129,324,46,1,1523
312,E05006,edist,2016,2536,16,108,446,310,803,66,4,4289
313,E05007,edist,2016,1139,15,101,294,226,602,59,4,2440
314,E05008,edist,2016,1752,12,75,473,152,380,36,5,2885
315,E05009,edist,2016,2842,20,164,806,388,874,101,16,5211
316,E05010,edist,2016,1644,12,69,579,250,463,37,6,3060
317,E05011,edist,2016,787,8,32,554,103,220,7,5,1716
318,E05012,edist,2016,1502,10,62,288,211,539,42,8,2662
319,E05013,edist,2016,908,4,67,261,134,514,45,2,1935
320,E05014,edist,2016,638,6,36,152,111,188,20,1,1152
321,E05015,edist,2016,1056,7,80,233,164,400,61,7,2008
322,E05016,edist,2016,1227,21,109,290,165,359,73,6,2250
323,E05017,edist,2016,1359,9,63,374,182,483,45,8,2523
324,E05018,edist,2016,1093,6,86,274,202,462,54,1,2178
325,E05019,edist,2016,1004,19,119,287,220,472,106,5,2232
326,E05020,edist,2016,2393,13,140,299,231,215,34,7,3332
327,E05021,edist,2016,2109,19,134,543,313,853,111,27,4109
328,E05022,edist,2016,700,14,41,120,84,217,46,0,1222
329,E05023,edist,2016,614,3,29,167,104,196,13,3,1129
330,E05024,edist,2016,1369,29,126,249,229,494,116,11,2623
331,E05025,edist,2016,805,6,33,200,140,386,32,7,1609
332,E05026,edist,2016,658,9,23,168,83,236,17,4,1198
333,E05027,edist,2016,450,20,35,2225,57,148,19,3,2957
334,E05028,edist,2016,753,6,79,147,89,238,51,4,1367
335,E05029,edist,2016,874,7,28,357,138,225,17,1,1647
336,E05030,edist,2016,1148,19,80,390,191,329,43,11,2211
337,E05031,edist,2016,1184,11,82,468,115,333,105,1,2299
338,E05032,edist,2016,491,6,38,159,108,325,11,2,1140
339,E05033,edist,2016,692,5,47,141,119,435,24,5,1468
340,E05034,edist,2016,531,1,37,121,112,302,34,2,1140
341,E05035,edist,2016,640,6,48,136,106,446,40,3,1425
342,E05036,edist,2016,820,8,41,220,177,400,25,4,1695
343,E05037,edist,2016,3999,34,340,877,402,881,148,22,6703
344,E05038,edist,2016,1682,19,77,357,204,335,30,12,2716
345,E05039,edist,2016,4187,34,274,582,399,796,100,13,6385
346,E05040,edist,2016,990,11,53,218,126,388,20,4,1810
347,E05041,edist,2016,1040,9,76,324,147,376,50,10,2032
348,E05042,edist,2016,1273,11,97,205,114,408,38,7,2153
349,E05043,edist,2016,1118,12,87,260,196,577,78,8,2336
350,E05044,edist,2016,844,9,60,225,124,272,24,3,1561
351,E05045,edist,2016,1010,19,99,186,121,278,76,5,1794
352,E05046,edist,2016,730,12,133,169,130,175,64,3,1416
353,E05047,edist,2016,1115,12,123,350,184,477,100,8,2369
354,E05048,edist,2016,588,6,65,111,94,275,62,4,1205
355,E05049,edist,2016,1212,14,133,235,201,322,112,4,2233
356,E05050,edist,2016,1409,8,74,440,286,745,63,5,3030
357,E05051,edist,2016,866,7,66,137,104,230,34,4,1448
358,E05052,edist,2016,1307,15,128,158,137,402,93,16,2256
359,E05053,edist,2016,613,6,22,235,141,352,19,2,1390
360,E05054,edist,2016,2450,25,109,736,567,834,67,10,4798
361,E05055,edist,2016,967,8,60,291,180,456,26,4,1992
362,E05056,edist,2016,619,1,36,172,135,192,18,2,1175
363,E05057,edist,2016,9541,87,569,2129,1065,1140,231,39,14801
364,E05058,edist,2016,1368,12,78,378,273,574,46,10,2739
365,E05059,edist,2016,2722,35,443,615,424,634,241,17,5131
366,E05060,edist,2016,2468,20,252,623,419,491,137,21,4431
367,E05061,edist,2016,1257,24,177,323,226,553,124,9,2693
368,E05062,edist,2016,2548,22,179,524,320,619,106,11,4329
369,E05063,edist,2016,1156,8,45,420,184,550,23,9,2395
370,E05064,edist,2016,1688,17,88,467,272,721,44,8,3305
371,E05065,edist,2016,1322,8,76,240,167,405,61,12,2291
372,E05066,edist,2016,1426,14,67,414,200,417,50,6,2594
373,E05067,edist,2016,950,9,43,360,170,354,26,5,1917
374,E05068,edist,2016,1027,11,60,271,145,282,46,4,1846
375,E05069,edist,2016,388,4,24,238,73,152,10,1,890
376,E06001,edist,2016,1346,49,386,340,303,430,172,14,3040
377,E06002,edist,2016,786,61,362,196,272,333,188,12,2210
378,E06003,edist,2016,9990,131,887,1801,1358,2042,505,44,16758
379,E06004,edist,2016,1405,28,384,261,264,269,135,10,2756
380,E06005,edist,2016,79,1,8,21,18,27,10,0,164
381,E06006,edist,2016,413,11,69,92,104,101,41,4,835
382,E06007,edist,2016,260,4,42,36,55,48,37,1,483
383,E06008,edist,2016,743,7,75,202,120,119,38,2,1306
384,E06009,edist,2016,111,0,15,15,26,30,9,0,206
385,E06010,edist,2016,79,0,15,10,21,14,2,0,141
386,E06011,edist,2016,176,3,17,25,31,48,5,2,307
387,E06012,edist,2016,245,6,34,61,44,81,16,1,488
388,E06013,edist,2016,659,12,111,139,120,147,46,3,1237
389,E06014,edist,2016,203,2,42,39,42,54,20,0,402
390,E06015,edist,2016,200,4,30,51,42,52,22,0,401
391,E06016,edist,2016,174,1,22,35,32,36,16,0,316
392,E06017,edist,2016,329,3,32,58,65,85,16,1,589
393,E06018,edist,2016,224,7,42,48,60,65,24,2,472
394,E06019,edist,2016,196,4,16,45,44,40,22,0,367
395,E06020,edist,2016,107,0,12,11,15,19,3,1,168
396,E06021,edist,2016,69,2,7,11,14,24,2,1,130
397,E06022,edist,2016,217,4,65,53,52,77,31,0,499
398,E06023,edist,2016,306,2,34,74,50,55,20,1,542
399,E06024,edist,2016,127,8,24,29,48,41,16,3,296
400,E06025,edist,2016,318,3,11,59,42,51,17,0,501
401,E06026,edist,2016,357,1,48,81,56,67,32,0,642
402,E06027,edist,2016,1867,36,371,327,336,401,247,66,3651
403,E06028,edist,2016,224,3,21,52,32,43,8,1,384
404,E06029,edist,2016,343,6,36,80,63,49,20,0,597
405,E06030,edist,2016,436,7,57,105,83,58,53,1,800
406,E06031,edist,2016,82,1,4,9,10,8,5,2,121
407,E06032,edist,2016,220,2,61,65,59,54,19,1,481
408,E06033,edist,2016,855,5,70,470,133,202,46,4,1785
409,E06034,edist,2016,7152,96,652,1604,892,1042,467,19,11924
410,E06035,edist,2016,723,16,55,183,80,112,32,1,1202
411,E06036,edist,2016,353,3,24,85,50,73,16,1,605
412,E06037,edist,2016,2999,23,215,460,336,471,113,8,4625
413,E06038,edist,2016,3128,40,266,538,348,516,115,15,4966
414,E06039,edist,2016,7188,78,632,1358,875,1784,376,35,12326
415,E06040,edist,2016,7001,94,510,3048,749,1052,263,26,12743
416,E06041,edist,2016,916,6,48,129,156,226,41,6,1528
417,E06042,edist,2016,238,5,27,41,55,76,14,1,457
418,E06043,edist,2016,589,4,47,106,109,145,37,2,1039
419,E06044,edist,2016,730,15,131,126,202,146,70,3,1423
420,E06045,edist,2016,122,2,6,24,23,20,9,1,207
421,E06046,edist,2016,169,1,22,33,32,35,6,0,298
422,E06047,edist,2016,117,1,8,20,24,27,3,0,200
423,E06048,edist,2016,321,1,28,45,59,64,43,1,562
424,E06049,edist,2016,141,2,14,26,29,24,8,2,246
425,E06050,edist,2016,320,9,65,62,105,95,23,1,680
426,E06051,edist,2016,299,2,34,77,63,65,16,1,557
427,E06052,edist,2016,74,0,10,16,15,18,8,1,142
428,E06053,edist,2016,1009,22,149,165,189,229,95,6,1864
429,E06054,edist,2016,385,2,31,93,64,64,28,2,669
430,E06055,edist,2016,440,9,74,81,105,79,42,3,833
431,E06056,edist,2016,678,8,59,154,107,197,25,2,1230
432,E06057,edist,2016,857,11,113,116,135,210,75,3,1520
433,E06058,edist,2016,408,6,60,88,79,117,84,1,843
434,E06059,edist,2016,2218,27,210,446,309,267,114,11,3602
435,E06060,edist,2016,880,9,63,201,142,182,36,16,1529
436,E06061,edist,2016,780,9,64,188,107,111,23,3,1285
437,E06062,edist,2016,3795,45,350,730,481,507,201,8,6117
438,E06063,edist,2016,379,5,28,82,48,54,20,1,617
439,E06064,edist,2016,1166,20,152,278,232,250,81,4,2183
