ed,mean,std
Ballinglen,38000.0,
Ballingurteen,152500.0,53033.00858899106
Ballinlough,70937.5,22303.807330332
Ballinlough A,245500.0,86460.56078599405
Ballinlough B,315227.2727272727,116871.73063001398
Ballinlough C,307837.13333333336,183515.89603506387
Ballinrobe,122488.63636363637,73212.93460372998
Ballinskelligs,134785.7142857143,94045.13860502357
Ballinspittle,245666.66666666666,104509.96762669737
Ballinteer-Broadford,372983.4791666667,90777.40632389301
Ballinteer-Ludford,406179.347826087,118130.46769289876
Ballinteer-Marley,399548.9428571428,155153.12246198114
Ballinteer-Meadowbroads,437239.1304347826,120733.25872702125
Ballinteer-Meadowmount,386282.7586206897,118867.52025128501
Ballinteer-Woodpark,419137.7450980392,115962.18025425586
Ballintemple,176718.75,87104.14623694253
Ballintober,69216.66666666667,47750.61954222863
Ballintogher East,138875.0,107452.60583159444
Ballintogher West,230000.0,
Ballintra,271783.3333333333,235899.89755543912
Ballintruckle,114681.33333333333,41488.502766648286
Ballinvoher,97000.0,73539.10524340095
Ballitore,160500.0,14849.242404917499
Ballon,128437.5,44237.53860047563
Balloughter,213200.0,75859.73899243261
Ballyadams,100000.0,
Ballyagran,83000.0,9899.494936611665
Ballyallinan,207000.0,
Ballyanne,164312.5,153683.30192856563
Ballyarr,178333.33333333334,36855.57397915997
Ballyarthur,222250.0,110469.34992443502
Ballybaan,171820.77922077922,78367.9887952082
Ballybane,258000.0,
Ballybay Rural,58100.0,29369.20155537089
Ballybay Urban,38750.0,13149.778198382915
Ballybeagh,156333.33333333334,10688.779163215977
Ballybeg,58500.0,16263.455967290593
Ballybeg North,48570.0,24298.33768564661
Ballybeg South,162000.0,
Ballyblood,188500.0,146310.45758933297
Ballyboden,399669.625,192685.24695769453
Ballyboggan,140000.0,
Ballyboghil,398666.6666666667,144047.73514359744
Ballybough A,165596.875,70238.83442147296
Ballybough B,251671.05263157896,95801.19309727837
Ballybrack,367977.25925925927,127871.82773935473
Ballybrackan,167000.0,60244.294335646424
Ballybricken,201193.33333333334,107955.99279777099
Ballybrit,175000.0,53288.52284185279
Ballybrittas,232681.81818181818,124206.19812907751
Ballyburly,132285.7142857143,43286.92922532438
Ballycahill,104250.0,48951.141822375146
Ballycallan,210000.0,0.0
Ballycanew,130500.0,57275.64927611035
Ballycannan,132833.33333333334,76145.69368432247
Ballycarney,173400.0,138705.80377186817
Ballycarroll,123000.0,103237.59005323594
Ballycarron,157500.0,0.0
Ballycastle,36500.0,4949.747468305833
Ballyclerahan,121000.0,110851.25168440814
Ballyclogh,81500.0,47376.15433949869
Ballyconnell,79647.05882352941,35984.269439003816
Ballyconra,75750.0,39162.16286161938
Ballyconry,160000.0,
Ballycottin,201350.0,87550.95341824922
Ballycullen,235000.0,
Ballycumber,124600.0,61853.05166279187
Ballycummin,184422.94857142857,69076.51555010077
Ballydehob,169708.33333333334,109061.58775775468
Ballyduff,99500.0,75916.07207963278
Ballyea,165833.33333333334,60017.358600102794
Ballyellis,201500.0,103944.69683442249
Ballyfarnan,78333.33333333333,72858.30998131464
Ballyfeard,186500.0,89802.56121069154
Ballyfin,82000.0,
Ballygall A,158961.53846153847,53672.641111148536
Ballygall B,219577.63157894736,77764.64813554022
Ballygall C,313731.32857142854,120216.94379247678
Ballygall D,293110.02,110926.33893264302
Ballygarden,86250.0,35677.95771434608
Ballygarraun,144500.0,64241.73098539609
Ballygarrett,123750.0,78415.02832153201
Ballygarvan,223000.0,74526.99327943352
Ballygibbon,135500.0,71014.08311032398
Ballyglass,218440.7894736842,113910.5183758602
Ballygroman,220421.875,66989.42012940695
Ballyhack,158412.5,57677.48779796335
Ballyhaise,90083.33333333333,44991.57328507936
Ballyhale,103857.14285714286,44120.330590653684
Ballyhaunis,59740.0,32565.677228231154
Ballyhealy,15000.0,
Ballyhean,105000.0,
Ballyheeny,69000.0,43840.62043356595
Ballyheige,116550.0,47747.28031812679
Ballyhoge,204000.0,126443.66334458995
Ballyhooly,162969.23076923078,45773.853246429244
Ballyhuskard,128000.0,44113.49000022555
Ballyjamesduff,81422.22222222222,34338.54770641674
Ballykilmore,106071.42857142857,42316.69151708792
Ballykisteen,103333.33333333333,45240.100206196126
Ballylaneen,125000.0,
Ballylarkin,283000.0,
Ballylehane,80000.0,
Ballyliffin,128900.0,37806.08416644073
Ballylynan,97200.0,17810.10948871455
Ballymacart,170000.0,
Ballymachugh,82375.0,41443.48561595658
Ballymackean,135000.0,
Ballymackney,134000.0,13892.443989449805
Ballymaclode,285900.0,100878.67536232393
Ballymacool,88571.31578947368,53137.77371624825
Ballymacshaneboy,60000.0,
Ballymacward,212000.0,
Ballymacwilliam,120000.0,
Ballymahon,84310.875,90443.98198890637
Ballymartle,189067.5,67970.42965248092
Ballymascanlan,212800.0,88936.49419670195
Ballymitty,165000.0,63639.61030678928
Ballymodan,173008.2857142857,86363.90592154788
Ballymoney,129000.0,31176.91453623979
Ballymoon,265000.0,65000.0
Ballymore,88964.28571428571,52139.76980423001
Ballymore Eustace,219500.0,130406.09648325495
Ballymote,70852.94117647059,34313.70203080431
Ballymuigh,155000.0,77781.74593052022
Ballymun A,181278.57142857142,52299.712054201416
Ballymun B,135611.11111111112,31723.195159238156
Ballymun C,200141.02564102566,69313.07204860504
Ballymun D,112684.21052631579,28116.923791709007
Ballymun E,342907.8947368421,67014.20334154645
Ballymun F,255969.69696969696,75764.26382928037
Ballymurphy,263576.92307692306,106215.16020046412
Ballymurreen,90000.0,0.0
Ballynabanoge,100000.0,
Ballynacarriga,165000.0,75347.52816118124
Ballynaclogh,122000.0,32008.927326160567
Ballynadrumney,360000.0,
Ballynaglogh,310000.0,
Ballynagoraher,77500.0,17677.66952966369
Ballynagore,116166.66666666667,28001.48805569685
Ballynahaglish,120285.71428571429,52870.011303555584
Ballynakill,189108.69565217392,92795.34624422164
Ballynamona,92250.0,77428.19253992695
Ballynanty,109785.71428571429,14792.613987102774
Ballynapark,91166.66666666667,19585.283590832514
Ballynashee,78375.0,66725.02653927286
Ballynaskeagh,105250.0,95105.86206959064
Ballynestragh,227250.0,102672.17247141506
Ballynoe,112833.33333333333,62000.67203936852
Ballynorig,121500.0,103944.69683442249
Ballyovey,26000.0,
Ballyphenane A,145372.22222222222,56013.92188058647
Ballyphenane B,161000.0,26843.99374161751
Ballyporeen,91285.71428571429,118347.22613591724
Ballyragget,123648.64864864865,63416.81612606839
Ballyroan,98142.85714285714,43359.65317907333
Ballysadare East,118291.66666666667,65776.63937811651
Ballysadare West,162500.0,102530.48327204939
Ballysax East,254464.2857142857,301811.9297411319
Ballysax West,240000.0,
Ballyseedy,99071.42857142857,48017.7298604628
Ballyshannon,309911.25,138804.37802293318
Ballyshannon Rural,184423.0,43242.40809668213
Ballyshannon Urban,67900.0,34283.49303581597
Ballyshear,137000.0,
Ballysheehan,222666.66666666666,54525.83485529284
Ballysimon,183305.58823529413,91933.5149268845
Ballyspillane,210300.0,134737.52261341308
Ballysteen,211093.25,116732.50382355665
Ballyvaldon,150000.0,28284.2712474619
Ballyvarra,222190.81632653062,104334.38415012757
Ballyvaskin,180000.0,14142.13562373095
Balraheen,377300.0,128834.99352099784
Balrathboyne,304166.6666666667,220713.8041295409
Balscaddan,500000.0,28284.2712474619
Baltinglass,140000.0,59580.9642784323
Banada,30000.0,
Banagher,104650.0,88144.73487233532
Bandon,101575.1,65921.67552291337
Bangor,117500.0,
Banna,97500.0,
Bannow,155666.66666666666,81586.35506831601
Bansha,125388.88888888889,105545.57916391265
Banteer,97000.0,39140.77158156185
Bantry Rural,110000.0,14142.13562373095
Bantry Urban,118706.52173913043,84614.58920028861
Barleyhill,139400.0,42122.4405750664
Barna,248597.06766917295,98062.47486649698
Barnacurra,195000.0,
Barronstown,126000.0,67438.86120034946
Barrowhouse,147000.0,38183.76618407357
Baslick,51000.0,
Baurleigh,242000.0,103237.59005323594
Baurtregaum,110000.0,
Bawn,65000.0,
Bawnboy,200000.0,70710.67811865476
Bawncross,85000.0,
Beagh,158400.0,81733.8669096232
Beaghmore,146250.0,48436.814511278506
Bealanageary,150000.0,50000.0
Bear,80000.0,
Beaumont A,254885.57692307694,52151.670152169
Beaumont B,254170.3125,73565.82410445038
Beaumont C,263743.5344827586,99068.04463816076
Beaumont D,286500.0,42486.840067806486
Beaumont E,283546.875,91507.7433154897
Beaumont F,299456.52173913043,93032.54066824363
Bective,153750.0,118440.38584874671
Beihy,63666.666666666664,53200.87718575074
Bekan,62000.0,
Belclare,88000.0,45254.83399593904
Bellanagare,62062.5,29725.455060796437
Bellanalack,93000.0,
Bellananagh,120312.5,94343.95184642203
Bellanode,134666.66666666666,45260.35793053343
Bellavary,100000.0,
Belleville,180000.0,7071.067811865475
Belmullet,141090.9090909091,91276.17930813553
Belturbet Urban,57153.846153846156,28348.563026034066
Belvidere,138500.0,79195.95949289332
Bennettsbridge,228894.4,85945.81035313554
Bilberry,79535.71428571429,51565.665487248945
Birdhill,177000.0,0.0
Birdstown,110045.45454545454,52730.662116767766
Birr Rural,151072.85714285713,61910.140449494946
Birr Urban,100494.88888888889,52263.94805661591
Bishopstown A,221857.14285714287,109689.60535898342
Bishopstown B,258312.5,63838.30485426964
Bishopstown C,312447.36842105264,115370.83508184472
Bishopstown D,313136.36363636365,80530.85504773071
Bishopstown E,227400.09375,60596.26595906343
