,county,ed
16042,Dublin,North Dock C
16082,Dublin,Dun Laoghaire-West Central
16120,Dublin,Royal Exchange A
16121,Dublin,South Dock
16122,Dublin,Mansion House A
16129,Dublin,Royal Exchange B
16130,Dublin,Saint Kevin's
16138,Dublin,Mansion House B
16240,Dublin,Pembroke East A
16251,Dublin,Arran Quay D
16254,Dublin,Arran Quay B
16258,Dublin,Inns Quay B
16263,Dublin,Cabra East A
16266,Dublin,Arran Quay C
16274,Dublin,Arran Quay A
16294,Dublin,Arran Quay E
16307,Dublin,Bray No 3
16353,Dublin,Phoenix Park
16355,Dublin,Ushers F
16356,Dublin,Merchants Quay C
16358,Dublin,Merchants Quay D
16359,Dublin,Wood Quay B
16366,Dublin,Ushers B
16369,Dublin,Merchants Quay B
16372,Dublin,Ushers E
16375,Dublin,Merchants Quay E
16381,Dublin,Ballymun F
16383,Dublin,Inchicore A
16390,Dublin,Merchants Quay F
16394,Dublin,Ushers A
16403,Dublin,Kilmainham B
16418,Dublin,North Dock A
16453,Dublin,Ushers D
16460,Dublin,Merchants Quay A
16547,Dublin,Dun Laoghaire-Glenageary
16548,Dublin,Dun Laoghaire-Salthill
16549,Dublin,Dun Laoghaire-East Central
16557,Dublin,Dun Laoghaire Sallynoggin West
16560,Dublin,Dun Laoghaire-Sallynoggin South
16634,Dublin,Dun Laoghaire-Mount Town
16655,Dublin,Dundrum-Balally
16757,Dublin,Dalkey-Avondale
16776,Dublin,Dundrum-Kilmacud
16861,Dublin,Stillorgan-Kilmacud
17541,Dublin,Clontarf West D
17584,Dublin,Clontarf West E
17631,Dublin,Finglas South D
17632,Dublin,Finglas South B
17633,Dublin,Ballygall A
17635,Dublin,Finglas South C
17636,Dublin,Finglas South A
17638,Dublin,Finglas North C
17639,Dublin,Ballymun A
17644,Dublin,Finglas North B
17652,Dublin,Finglas North A
17660,Dublin,Ballygall B
17666,Dublin,Dubber
17678,Dublin,Ballygall D
17700,Dublin,The Ward
18129,Dublin,Firhouse-Knocklyon
18158,Dublin,Foxrock-Torquay
18303,Dublin,Garristown
18312,Dublin,Ardcath
18314,Dublin,Botanic A
18329,Dublin,Ballymun E
18685,Dublin,D̼n Laoghaire-Sandycove
18708,Dublin,Dun Laoghaire-Sallynoggin East
18794,Dublin,Stillorgan-Deerpark
18901,Dublin,Templeogue-Limekiln
18902,Dublin,Rathmines West A
18904,Dublin,Terenure A
19051,Dublin,Howth
19159,Dublin,Kilmainham C
19301,Dublin,Raheny-Greendale
19302,Dublin,Raheny-Foxfield
19304,Dublin,Grange D
19662,Dublin,Tallaght-Kingswood
19663,Dublin,Tallaght-Kilnamanagh
19693,Dublin,Kilsallaghan
19734,Dublin,Terenure B
19800,Dublin,Kinsaley
19844,Dublin,Firhouse-Ballycullen
19890,Dublin,Rathfarnham-Ballyroan
20087,Dublin,Shankhill-Rathmichael
20124,Dublin,Holmpatrick
20126,Dublin,Lucan-Esker
21199,Dublin,Rush
21286,Dublin,Malahide East
21288,Dublin,Malahide-West
21293,Dublin,Swords-Seatown
21636,Dublin,Portmarnock North
22099,Dublin,Stillorgan-Mount Merrion
22193,Dublin,Blanchardstown-Tyrrelstown
22260,Dublin,Hollywood
22262,Dublin,Balscaddan
22304,Dublin,Newcastle
