uid,ed,ed_num
5091,Lehenagh,434
5132,Browningstown,435
5328,Gurranabraher C,436
5516,Bredagh,437
5517,Garranes,438
5519,Dromdaleague South,439
5530,Dromdaleague North,440
5541,Drinagh,441
5544,Carrigbaun,442
5558,Dromina,443
5566,Templenacarriga,444
5568,Dunmanway South,445
5572,Garrown,446
5573,Dunmanway North,447
5581,Manch,448
5587,Ballingurteen,449
5592,Milane,450
5594,Aultagh,451
5618,Dunbeacon,452
5619,Durrus West,453
5622,Knocks,454
5629,Castletown,455
5630,Bengour,456
5637,Fair Hill A,457
5658,Farranferris C,458
5690,Coole,459
5739,Roskeen,460
5741,Rathcormack,461
5752,Castle Hyde,462
5761,Killathy,463
5824,Allow,464
5825,Knocktemple,465
5832,Bawncross,466
5833,Clondrohid,467
5836,Kilfaughnabeg,468
5844,Derry,469
5846,Myross,470
5849,Riverstown,471
5850,Caherlag,472
6058,Kilshannig,473
6060,Glanworth West,474
6080,Glasheen A,475
6081,Glasheen B,476
6122,Kilcaskan,477
6138,Ballynaglogh,478
6139,Glenville,479
6171,Goleen,480
6200,Knockantota,481
6202,Blackpool,482
6210,Greenfort,483
6250,Coomlogane,484
6251,Ardagh,485
6261,Knockavilly,486
6295,Kanturk,487
6296,Greenane,488
6332,Coolclogh,489
6335,Castlecor,490
6355,Kilbrin,491
6356,Rathclarin,492
6357,Kilbrittain,493
6363,Coolmain,494
6377,Kildinan,495
6378,Kildorrery,496
6379,Farahy,497
6396,Monanimy,498
6407,Clonpriest,499
6441,Teerelton,500
6442,Carrigboy,501
6446,Kilworth,502
6452,Leitrim,503
6464,Kinsale Rural,504
6490,Ballymackean,505
6566,Leighmoney,506
6656,Doonasleen,507
6657,Knockraha,508
6665,Garryvoe,509
6686,Templebodan,510
6692,Knockskagh,511
6693,Cloonkeen,512
6697,Shreelane,513
6713,Liscarroll,514
6714,Cape Clear,515
6719,Mashanaglass,516
6745,Tincoora,517
6747,Macroom Urban,518
6749,Rahalisk,519
6750,Macloneigh,520
6759,Inchigeelagh,521
6769,Kilnamartery,522
6839,Candroma,523
6860,Mallow North Urban,524
6861,Mallow Rural,525
6868,Mallow South Urban,526
6897,Rathcool,527
6917,Keale,528
7020,Clenor,529
7027,Ballyclogh,530
7043,Meens,531
7049,Rahan,532
7054,Ballynamona,533
7057,Rosnalee,534
7086,Caherduggan,535
7090,Boherboy,536
7119,Kilmaclenine,537
7148,Kilcorney,538
7159,Montenotte B,539
7225,Rostellan,540
7333,Ballyspillane,541
7411,Milford,542
7414,Drishane,543
7421,Caherbarnagh,544
7436,Mitchelstown,545
7450,Kilphelan,546
7453,Marshalstown,547
7454,Derryvillane,548
7464,Kilbeheny,549
7470,Kilgullane,550
7518,Monkstown Rural,551
7547,Tivoli A,552
7580,Nad,553
7582,Barleyhill,554
7594,Glenlara,555
7600,Barnacurra,556
7615,Newtown,557
7618,Nohavel,558
7620,Ballygroman,559
7691,Kinure,560
7840,Cullen,561
8041,Clonfert West,562
8042,Rosscarbery,563
8046,Cahermore,564
8058,Castleventry,565
8070,Mountrivers,566
8080,Lowertown,567
8086,Dunmanus,568
8097,Toormore,569
8147,Shanballymore,570
8188,Castlehaven South,571
8201,Aghadown North,572
8203,Cloghdonnell,573
8205,Woodfort,574
8207,Aghadown South,575
8266,Togher B,576
8267,Timoleague,577
8275,Kilmaloda East,578
8303,Togher A,579
8345,Tullylease,580
8404,Watergrasshill,581
8408,Gortroe,582
8442,Mardyke,583
8556,Youghal Urban,584
8557,Youghal Rural,585
8593,Kinsalebeg,586
8684,Annagary,587
8699,Ardara,588
8703,Dawros,589
8705,Inishkeel,590
8707,Glengesh,591
8711,Aran,592
8716,Clonleigh South,593
8717,Ballintra,594
8718,Cavangarden,595
8723,Knock,596
8724,Stranorlar,597
8725,Dooish,598
8733,Goland,599
8747,Altnapaste,600
8763,Gleneely,601
8768,Ballyliffin,602
8774,Ballyshannon Urban,603
8776,Gubacreeny,604
8790,Bundoran Rural,605
8793,Ballyshannon Rural,606
8795,Cliff,607
8804,Carricknaboy,608
8807,Clogher,609
8808,Birdstown,610
8809,Burt,611
8815,Killybegs,612
8817,Dunkineely,613
8824,Magheraclogher,614
8828,Buncrana Urban,615
8829,Buncrana Rural,616
8882,Fahan,617
8886,Mintiaghs,618
8892,Desertegny,619
8917,Bundoran Urban,620
9023,Rutland,621
9033,Carndonagh,622
9039,Glentogher,623
9080,Glennagannon,624
9088,Kilcar,625
9089,Glencolumbkille,626
9091,Crowkeeragh,627
9093,Killea,628
9099,Cranford,629
9101,Carrickart,630
9113,Carrowkeel,631
9115,Castlefinn,632
9121,Cloghard,633
9125,Church Hill,634
9127,Gartan,635
9130,Straid,636
9133,Dunaff,637
9145,Figart,638
9146,Convoy,639
9175,Creeslough,640
9181,Creenasmear,641
9182,Ards,642
9184,Culdaff,643
9202,Donegal,644
9217,Tullynaught,645
9219,Doocharry,646
9220,Lettermacaward,647
9221,Rosguill,648
9233,Lettermore,649
9240,Dunfanaghy,650
9249,Cross Roads,651
9264,Maghery,652
9265,Dunglow,653
9278,Corkermore,654
9307,Rosnakill,655
9309,Eanymore,656
9311,Glen,657
9312,Malinbeg,658
9315,Turmone,659
9322,Glenties,660
9323,Maas,661
9327,Knockalla,662
9328,Gortahork,663
9331,Greencastle,664
9336,Moville,665
9351,Inver,666
9352,Bonnyglen,667
9360,Largymore,668
9375,Crownarad,669
9377,Tieveskeelta,670
9392,Killygordon,671
9413,Loughkeel,672
9419,Malin,673
9426,Laghy,674
9428,Letterkenny Rural,675
9430,Letterkenny Urban,676
9435,Castlewray,677
9436,Ballymacool,678
9439,Corravaddy,679
9443,Edenacarnan,680
9446,Gortnavern,681
9529,Magheraboy,682
9650,Templedouglas,683
9737,Killymasny,684
9774,Kilmacrenan,685
9879,Clonleigh North,686
9905,Carthage,687
9906,Ardmalin,688
9920,Manorcunningham,689
9933,Raphoe,690
9936,Treantaghmucklagh,691
9941,Kincraigy,692
9954,Millford,693
9964,Ballyarr,694
9967,Glenalla,695
9979,Tantallon,696
10002,Castlecary,697
10009,Kilderry,698
10025,Three Trees,699
10042,Castleforward,700
10043,Newtown Cunningham,701
10057,Pettigoe,702
10083,Redcastle,703
10084,Whitecastle,704
10089,Rathmelton,705
10138,Rathmullan,706
10181,St Johnstown,707
10210,Lucan-St. Helens,708
10230,Ayrfield,709
10237,Harmonstown A,710
10238,Clontarf West A,711
10239,Harmonstown B,712
10240,Beaumont B,713
10243,Beaumont C,714
10245,Kilmore D,715
10256,Beaumont D,716
10263,Clontarf East A,717
10360,Clontarf East E,718
10541,Ashtown A,719
10550,Castleknock-Park,720
10569,Cabra East A,721
10574,Grange A,722
10597,Balbriggan Rural,723
10599,Balbriggan Urban,724
10847,Skerries,725
10995,Clondalkin-Village,726
10996,Baldoyle,727
11001,Grange B,728
11155,Balgriffin,729
11176,Malahide East,730
11182,Ballinteer-Woodpark,731
11183,Ballinteer-Ludford,732
11184,Rathfarnham-Butterfield,733
11189,Ballinteer-Broadford,734
11205,Dundrum-Sandyford,735
11214,Ballinteer-Meadowmount,736
11235,Ballinteer-Meadowbroads,737
11407,Pembroke East E,738
11410,Pembroke West B,739
11411,Pembroke West C,740
11417,Pembroke East B,741
11433,Pembroke East D,742
11443,Pembroke West A,743
11444,Pembroke East C,744
11531,Edmondstown,745
11532,Ballyboden,746
11536,Rathfarnham-St. Edna's,747
11537,Ballybough A,748
11552,Ballyboghil,749
11556,Lusk,750
11558,Swords-Lissenhall,751
11569,Killiney South,752
11572,Ballybrack,753
11573,Killiney North,754
11577,Cabinteely-Kilbogget,755
11611,Firhouse Village,756
11676,Carna,757
11677,Kylemore,758
11680,Kilmainham A,759
11681,Decies,760
11683,Drumfinn,761
11684,Cherry Orchard C,762
11957,Clondalkin-Ballymount,763
11958,Ballymun D,764
11961,Ballymun C,765
11969,Ballymun B,766
11975,Airport,767
11977,Ballygall A,768
11987,Ballygall C,769
11991,Ballymun A,770
12013,Cabinteely-Granitefield,771
12014,Sutton,772
12015,Beaumont F,773
12022,Whitehall D,774
12026,Beaumont E,775
12028,Beaumont A,776
12108,Dundrum-Sweetmount,777
12186,Foxrock-Deansgrange,778
12187,Blackrock-Central,779
12189,Blackrock-Carysfort,780
12190,Blackrock-Williamstown,781
12191,Blackrock-Monkstown,782
12192,Stillorgan-Priory,783
12195,Blackrock-Templehill,784
12197,Cabinteely-Pottery,785
12201,Stillorgan-Leopardstown,786
12210,Blackrock-Newpark,787
12226,Blackrock-Stradbrook,788
12263,Foxrock-Beechpark,789
12343,Blackrock-Glenomena,790
12360,Blackrock-Seapoint,791
12462,Dun Laoghaire-Monkstown Farm,792
12499,Blackrock-Booterstown,793
12579,Dun Laoghaire Sallynoggin West,794
12681,Blanchardstown-Coolmine,795
12683,Blanchardstown-Abbotstown,796
12684,Blanchardstown-Corduff,797
12689,Blanchardstown-Mulhuddart,798
12704,Blanchardstown-Delwood,799
12720,Blanchardstown-Roselawn,800
12815,Blanchardstown-Blakestown,801
12999,Inchicore B,802
13017,Clondalkin-Monastery,803
13035,Bohernabreena,804
13128,Saggart,805
13129,Rathcoole,806
13133,Cabinteely-Loughlinstown,807
13139,Foxrock-Carrickmines,808
13308,Cabra East C,809
13312,Cabra West B,810
13317,Cabra East B,811
13318,Cabra West A,812
13319,Cabra West C,813
13349,Wood Quay A,814
13432,Cabra West D,815
13459,Castleknock-Knockmaroon,816
13468,Glencullen,817
13729,Lucan North,818
13932,Palmerstown West,819
14084,Ashtown B,820
14232,Chapelizod,821
14309,Cherry Orchard A,822
14330,Churchtown Nutgrove,823
14335,Churchtown-Orwell,824
14337,Churchtown-Castle,825
14338,Churchtown-Landscape,826
14356,Churchtown-Woodlawn,827
14393,Rathfarnham-Hermitage,828
14399,Clonskeagh-Farranboley,829
14522,Tallaght-Jobstown,830
14526,Tallaght-Kiltipper,831
14562,Tallaght-Fettercairn,832
14623,Turnapin,833
14629,Clondalkin-Moorfield,834
14631,Clondalkin-Dunawley,835
14633,Clondalkin-Rowlagh,836
14788,Clondalkin-Cappaghmore,837
14823,Tallaght-Oldbawn,838
14946,Lucan-Heights,839
15200,Walkinstown A,840
15479,Dunboyne,841
15633,Priorswood E,842
15636,Priorswood A,843
15662,Priorswood B,844
16194,Clonskeagh-Milltown,845
16195,Clonskeagh-Windy Arbour,846
16200,Clonskeagh-Belfield,847
16229,Clonskeagh-Roebuck,848
16242,Dundrum-Taney,849
16258,Rathmines East B,850
16320,Clontarf East B,851
16322,Clontarf East D,852
16334,Clontarf East C,853
16336,Clontarf West C,854
16532,Priorswood D,855
16558,North Dock B,856
16786,Kilmore B,857
16790,Kilmore C,858
16804,Kilmore A,859
16887,Kimmage B,860
16888,Crumlin D,861
16890,Crumlin C,862
16899,Kimmage E,863
16900,Kimmage A,864
16901,Kimmage C,865
16911,Crumlin B,866
16942,Kimmage D,867
17029,Crumlin F,868
17035,Kilmainham B,869
17067,Crumlin E,870
17188,Walkinstown C,871
17229,Terenure-Greentrees,872
17257,Walkinstown B,873
17296,Dalkey-Bullock,874
17298,Dalkey Hill,875
17299,Dalkey-Coliemore,876
17302,Dalkey Upper,877
17404,Priorswood C,878
17410,Rathmines East C,879
17414,Rathmines East A,880
17425,Rathfarnham,881
17428,Stillorgan-Mount Merrion,882
17439,Ushers C,883
17661,Grange C,884
17666,Grange E,885
17884,Grace Park,886
17887,Clontarf West B,887
17978,Crumlin A,888
18293,Botanic B,889
18297,Drumcondra South C,890
18298,Drumcondra South A,891
18300,Botanic C,892
18301,Ballybough B,893
18305,Drumcondra South B,894
18322,Whitehall A,895
18521,Inns Quay A,896
18716,Rotunda B,897
18717,Mountjoy B,898
18718,North City,899
18719,Rotunda A,900
18724,Mountjoy A,901
18763,Inns Quay C,902
18771,Dun Laoghaire-Glasthule,903
18775,North Dock C,904
18817,Dun Laoghaire-West Central,905
18864,Royal Exchange A,906
18865,South Dock,907
18866,Mansion House A,908
18875,Royal Exchange B,909
18876,Saint Kevin's,910
18887,Mansion House B,911
19008,Pembroke East A,912
19024,Arran Quay E,913
19025,Arran Quay D,914
19029,Arran Quay C,915
19031,Arran Quay B,916
19035,Inns Quay B,917
19056,Arran Quay A,918
19115,Bray No 3,919
19187,Merchants Quay C,920
19188,Merchants Quay E,921
19189,Merchants Quay A,922
19190,Phoenix Park,923
19192,Ushers F,924
19195,Merchants Quay D,925
19196,Wood Quay B,926
19199,Inchicore A,927
19204,Ushers B,928
19207,Merchants Quay B,929
19211,Ushers E,930
19221,Ballymun F,931
19231,Merchants Quay F,932
19235,Ushers A,933
19266,North Dock A,934
19275,Ushers D,935
19376,Kilmainham C,936
19397,Dun Laoghaire-Glenageary,937
19398,Dun Laoghaire-Salthill,938
19400,Dun Laoghaire-East Central,939
19411,Dun Laoghaire-Sallynoggin South,940
19478,Dun Laoghaire-Mount Town,941
19501,Dundrum-Balally,942
19606,Dalkey-Avondale,943
19634,Dundrum-Kilmacud,944
19745,Stillorgan-Kilmacud,945
20115,Clontarf West D,946
20163,Clontarf West E,947
20215,Finglas South D,948
20216,Finglas South B,949
20217,Finglas South C,950
20221,Finglas South A,951
20222,Dubber,952
20225,Finglas North C,953
20231,Finglas North B,954
20235,Finglas North A,955
20250,Ballygall B,956
20286,Ballygall D,957
20321,The Ward,958
20813,Rathfarnham-Ballyroan,959
20855,Firhouse-Knocklyon,960
20915,Foxrock-Torquay,961
21083,Garristown,962
21093,Ardcath,963
21095,Botanic A,964
21118,Ballymun E,965
21574,DÃÂÃÂºn Laoghaire-Sandycove,966
21598,Dun Laoghaire-Sallynoggin East,967
21687,Stillorgan-Deerpark,968
21813,Templeogue-Limekiln,969
21814,Rathmines West A,970
21818,Terenure A,971
21988,Howth,972
22272,Raheny-Greendale,973
22274,Raheny-Foxfield,974
22276,Grange D,975
22701,Rathmines West E,976
22723,Tallaght-Kilnamanagh,977
22724,Tallaght-Kingswood,978
22761,Kilsallaghan,979
22795,Templeogue-Kimmage Manor,980
22818,Terenure B,981
22922,Kinsaley,982
22974,Firhouse-Ballycullen,983
23056,Templeogue-Cypress,984
23282,Shankhill-Rathmichael,985
23320,Holmpatrick,986
23322,Lucan-Esker,987
24444,Rush,988
24538,Malahide-West,989
24543,Swords-Seatown,990
24912,Portmarnock North,991
25562,Blanchardstown-Tyrrelstown,992
25653,Hollywood,993
25655,Balscaddan,994
25745,Newcastle,995
25860,Clonmethan,996
25916,Palmerstown Village,997
26149,Tallaght-Millbrook,998
26323,Portmarnock South,999
26579,Raheny St. Assam,1000
26588,Edenmore,1001
26966,Rathmines East D,1002
26981,Rathmines West B,1003
27253,Ballinteer-Marley,1004
27254,Tibradden,1005
27265,Rathfarnham Village,1006
27864,Rathmines West F,1007
27866,Rathmines West D,1008
28060,Rathmines West C,1009
29045,Whitehall B,1010
29050,Whitehall C,1011
29373,Shankill-Rathsallagh,1012
29374,Shankill-Shanganagh,1013
29881,Stillorgan-Merville,1014
30402,Swords Village,1015
30404,Swords-Forrest,1016
30407,Swords-Glasmore,1017
31349,Tallaght-Springfield,1018
31352,Tallaght-Avonbeg,1019
31355,Tallaght-Belgarde,1020
31356,Tallaght-Killinardan,1021
31365,Tallaght-Tymon,1022
31473,Tallaght-Glenview,1023
31496,Ballinascorney,1024
31868,Templeogue Village,1025
31879,Templeogue-Orwell,1026
31885,Templeogue-Osprey,1027
31950,Terenure D,1028
32040,Terenure C,1029
32451,Terenure-Cherryfield,1030
32510,Terenure-St. James,1031
32848,Abbey East,1032
32851,Ryehill,1033
32852,Abbey West,1034
32853,Clonbrock,1035
32854,Ahascragh,1036
32855,Annaghdown,1037
32858,Knockboy,1038
32863,Castletaylor,1039
32864,Ballygarraun,1040
32866,Skehanagh,1041
32867,Ardrahan,1042
32872,Loughrea Rural,1043
32873,Athenry,1044
32875,Tuam Rural,1045
32891,Kiltullagh,1046
32914,Tiaquin,1047
32918,Aughrim,1048
32920,Belleville,1049
32922,Moyode,1050
32923,Greethill,1051
32934,Graigabbey,1052
32955,Kilconierin,1053
32972,Castleffrench,1054
32973,Ballinasloe Urban,1055
32974,Killaan,1056
32981,Kilquain,1057
32983,Derrew,1058
32991,Mount Bellew,1059
33002,Derryglassaun,1060
33008,Eyrecourt,1061
33012,Killimor,1062
33015,Laurencetown,1063
33032,Oatfield,1064
33033,Killure,1065
33046,Lismanny,1066
33051,Caltra,1067
33053,Ballinasloe Rural,1068
33064,Kiltormer,1069
33065,Shankill,1070
33068,Clonbern,1071
33074,Cappalusk,1072
33086,Kilconnell,1073
33088,Kellysgrove,1074
33092,Ballymacward,1075
33094,Culliagh,1076
33108,Killoran,1077
33114,Drumacoo,1078
33116,Ballybaan,1079
33117,Mervue,1080
33140,Ballybrit,1081
33155,Bunowen,1082
33159,Doonloughan,1083
33164,Killeroran,1084
33176,Ballymoe,1085
33177,Barna,1086
33181,Knocknacarragh,1087
33213,Hillsbrook,1088
33214,St Nicholas,1089
33221,Raford,1090
33222,Claddagh,1091
33223,Beaghmore,1092
33224,Kilcoona,1093
33227,Killallaghtan,1094
33232,Carnmore,1095
33233,Crumpaun,1096
33235,Moyrus,1097
33237,Kilcummin,1098
33238,Castleblakeney,1099
33250,Carrowbrowne,1100
33251,Claregalway,1101
33253,Liscananaun,1102
33271,Lisheenavalla,1103
33289,Lackaghbeg,1104
33296,Clarinbridge,1105
33299,Stradbally,1106
33309,Cleggan,1107
33311,Clifden,1108
33315,Derrylea,1109
33343,Cloonbur,1110
33349,Cong,1111
33351,Ballinderry,1112
33352,Cummer,1113
33360,Killower,1114
33361,Ballinduff,1115
33371,Sailearna,1116
33372,Craughwell,1117
33388,Kilconickny,1118
33404,Creggs,1119
33405,Glennamaddy,1120
33408,Rahoon,1121
33433,Dunmore South,1122
33434,Doonbally,1123
33436,Addergoole,1124
33440,Aille,1125
33454,Furbo,1126
